,0
0,لا
1,He didn't give me my change
2,الطلب ما وصلني !!!!!!
3,طلبت عيش مندي ووصلني قبولي .. وربع صدر دجاج صغير جدا 💔 ما راح اطلب مرة اخرى من هالمطعم
4,Good
5,Excellent
6,I didn't received my ordered at all
7,شكرا
8,اوكي
9,Good
10,Perfect 👍🏼
11,Very bad food.. money waste.. not fresh at all and the chicken with no taste
12,Didnt give me back my change 1.100
13,شكرا طلبات وشكرا لبناتي هاوس على السندويشات الجميله
14,تتبع الطلب يقول خلاص 26 دقيقة والطلب وصل لي بعد ساعة وعشر دقايق واشتكيت للدعم ولكن لم يعيروني اي اهتمام ابدا وهذي ثالث مرة. اعتقد ان طلبات لا تهنم بخسارة الزائن. سوف اكتب ملاحظاتي في توتير
15,يهبل
16,رهيب
17,I was surprised of the amount of food !!! I was left hungry !! ... I used to order the same before but now the amount of food is decreased !
18,Good
19,😋😋
20,ًً
21,good
22,الاكل طيب 😋😋
23,Hi
24,الاكل طبخ بأيادي لذيذة والتغليف جبد جدا ولكن عندي ملاحظة مهمة جدا ! انا زبونة دائمة ولكن اي طلبات سندويتشات شوارما او حتى الصاروخ ! يجي بدون مخلل ! ياريت لو تحطوا مخلل لانه ماعتقد يخسر كثير بحجم الكمية اللي ترسلوها للشوارما العربي ! تفاصيل بسيطة تفرق عند الزبون وماتكلف صاحب المال
25,Very nice food 👍👍
26,excellent and absolutely delicious
27,ممتاز
28,طيب و وصل ف اقرب وقت بسبب زحمه
29,Loved it
30,-
31,Perfect
32,Thank you
33,لم يكن الطعام جيدا و قيمته اعلى بكثير عن المتوقع منه.
34,❌❌❌بارد جدا والدجاج يوجد به سواد ولا يوجد به ملح ولا طعم  وبالمختصر خسرت ٣ ريال بدون فايده لاني لم استطع تناول الوحبه ولا انصح به اي احد
35,من افضل المطاعم
36,👍🏻
37,الاكل ف الصور حلو وشكله لذيذ ف الواقع الطعم استغفر الله يمشي الحال وللاسف مطعم شكله راقي ومرتب اخر شي يقدموا ورق عنب معلب وطعمه م ينوكل واسعار مرتفعه ع الفاضي
38,المطعم سيء اشتريت مكبوس لحم جاب لي مكبوس فحم مو لحم كله محروق لدرجة صاير فحم قسم بالله
39,عدم توفير الملاعق من قبل المطعم
40,
41,Nice
42,The Portion for its price was shockingky small
43,The packaging was good. The dolma was toooo salty and samosa too. Overpriced.
44,بصراحه اطيب مكبوس كويتي في مسقط. لذيذ نظيف و يوصل دايما ساخن 👍👍👍👍
45,شكرا
46,الجريش ماااااالح وكبسة الربيان لذيذذه جدددا😍😋
47,ممتاز
48,Kebba was very good. Mix grill is normal and of small portion.
49,Meat was extremely dry
50,👌🏻
51,الاسعار غاليه وكمية الاكل قليله و ذاكرين مع ام علي في شاي كرك بس ما في
52,It has too much coconut and very few nuts and dry fruit
53,Very good
54,
55,السعر مرتفع
56,Best
57,Love
58,Best coffee
59,Hi to much help full and kind
60,Best coffee ever
61,جيد
